33226224_494.cml_Service_messages_0	Service messages	"Service messages."
33243883_418.cml_Bluetooth_audio_5	Bluetooth audio	"Disconnecting the audio connection

 1.  Settings 
2.  Connections 
3.  Bluetooth  
4. Highlight the desired device.
5. Open  Options .
6.  Configure device 
7.  Audio 
8.  OK "
33243883_418.cml_Bluetooth_audio_6	Bluetooth audio	"Unpairing a device

 1.  Settings 
2.  Connections 
3.  Bluetooth  
4. Highlight the device that is to be unpaired.
5. Open  Options .
6.  Remove device "
33243883_418.cml_Bluetooth_audio_7	Bluetooth audio	"Frequently asked questions

 Where is information available regarding compatible Bluetooth devices?
- Information on compatible devices can be found at www.bmw.com/bluetooth. Information on compatible devices can be found at www.mini.com/bluetooth. Information on compatible devices can be found at www.miniusa.com/bluetooth. Information on compatible devices can be found at www.bmwusa.com/bluetooth. The external device must be Bluetooth-capable in order to be used.How can compatibility be improved?
- Perform a software update if needed.Why can the Bluetooth device not be paired or connected?
- Do the Bluetooth passkeys on the device and the vehicle match? Enter the same passkey on the device and via iDrive. Do the Bluetooth passkeys on the device and the vehicle match? Enter the same passkey on the device and via the onboard monitor.
- Did it take longer than 30 seconds to enter the passkey? Repeat pairing.
- Is the Bluetooth device in power-save mode or does it have only a limited remaining battery life? Charge the mobile phone in the snap-in adapter or via the charging cable.
- The Bluetooth device no longer reacts? Switch the device off and on again.
- Repeat pairing.Why can no music be played back from the Bluetooth device?
- Playback not possible if the mobile phone is connected via Bluetooth audio and via the USB interface at the same time. Playback not possible if the mobile phone is connected via Bluetooth audio and via the USB port or the snap-in adapter at the same time. Disconnect one of the two connections; for example, disconnect the audio connection and restart playback.
- Start the program for playing back music data on the device, and select a track on the device if needed.
- Switch the radio off and on again.Why are the music files played back softly only?
- Adjust the volume settings on the device.How can be prevented that Playback is disturbed when buttons are pressed or by other messages on the device?
- Switch off the button tones and other signal tones on the device.What can I do if playback is paused by a telephone call or traffic bulletin and is not resumed automatically?
- Switch the radio off and on again.If all points in this list have been checked and the required function is still not available, contact the hotline, a dealer's service center or another qualified service center or repair shop. If all points in this list have been checked and the required function is still not available, contact a dealer's service center or another qualified service center or repair shop."
33243897_455.cml_Redialing_0	Redialing	"General information

 Lists of numbers dialed from the mobile phones to which the telephone or additional phone function is assigned are transmitted to the vehicle. The last 20 dialed numbers are displayed for each mobile phone. Lists of numbers dialed from the mobile phones to which the telephone 1 or telephone 2 function is assigned are transmitted to the vehicle. The last 20 dialed numbers are displayed for each mobile phone."
33243897_455.cml_Redialing_1	Redialing	"Dialing the number via the instrument cluster

 This is possible when there is no active call.
1. Press button on the steering wheel.
2. Select the desired phone number.The connection is established via the mobile phone that contains the list from which the number originates."
33243897_455.cml_Redialing_2	Redialing	"Select number via iDrive Select number via the onboard monitor 

 On the Control Display:
1.  Telephone 
2.  Redial 
3. Select the desired entry and the phone number if needed.
The connection is established via the mobile phone that contains the list from which the entry originates.The connection can be established via the other mobile phone: 1. Highlight the entry.
2. Open  Options .
3.  Call via "
33243897_455.cml_Redialing_3	Redialing	"Saving an entry in the contacts

 On the Control Display:
1. Highlight the entry.
2. Open  Options .
3.  Store as new contact  or  Add to existing contact 
4. Select the contact, if needed.
5. Select the type of number:  Home ,  Business ,  Mobile  or  Other .
6. Complete the entries if needed.
7.  Store contact  Deleting entry or list

 On the Control Display:
1. Highlight the desired entry.
2. Open  Options .
3.  Delete entry  or  Delete list "
33244207_487.cml_Deleting_contacts_0	Deleting contacts	"Only contacts that are stored in the vehicle are deleted. The contacts on the mobile phone cannot be deleted. Only contacts that are stored in the vehicle are deleted. The contacts on the mobile phone or at BMW Online cannot be deleted. On the Control Display:
1.  Office 
2.  Contacts 
3. Highlight the contact.
4. Open  Options .
5.  Delete contact  or  Delete all contacts .
6. If necessary,  Yes "
33244360_490.cml_Displaying_messages_0	Displaying messages	"On the Control Display:
1.  Office 
2.  Messages 
The most recent messages are displayed.You can choose whether the messages are to be transferred from a mobile phone. The messages can also be transferred from both connected mobile phones.
If several e-mail accounts are assigned to a mobile phone, you can choose from which one of the accounts the messages should be displayed.
1. Open  Options .
2. Select the mobile phone and if needed the accounts from which the messages are to be transferred.A symbol identifies the type of message.
Symbol
Message type
  
Text messages.
My Info. Message from the Concierge service. Message from the Concierge service.   
E-mail from mobile phone.
To display a message, select it."
33244377_503.cml_General_information_0	General information	"Contacts can be created and edited. The contacts from the mobile phone are also displayed. Addresses can be adopted as destinations for navigation and the phone numbers can be dialed."
33244392_628.cml_Telephone_0	Telephone	"Function
Command
 Telephone , Open the menu.
 Telephone 
Open upon contact from the phone book.
 Call ... 
Display the phone book.
 Phonebook 
Redialing, display the list of dialed numbers.
 Redial 
Display the list of received calls.
 Received calls 
Display the list of messages.
 Messages  Switch phones.
 Swap telephones "
34002319_103.cml_Alarm_system_0	Alarm system	"The concept

 When the vehicle is locked, the vehicle alarm system responds to:
- Opening a door, the hood or the trunk lid.
- Opening a door, the hood or the tailgate.
- Opening a door, the hood or the split doors.
- Movements in the vehicle interior.
- Changes in the vehicle tilt, e. g., during attempts at stealing a wheel or when towing the car.
- Disconnected battery voltage.The alarm system briefly signals tampering:
- Acoustic alarm.
- By switching on the hazard warning system.
- By flashing the daytime running lights."
34002319_103.cml_Alarm_system_1	Alarm system	"Switching on and off

 When you lock or unlock the vehicle with the remote control, the alarm system is switched on or off at the same time. When you lock or unlock the vehicle, either with the remote control or with Comfort Access, the alarm system is switched on and off at the same time."
34002319_103.cml_Alarm_system_2	Alarm system	"Door lock with the alarm system switched on

 The alarm system is triggered when the door is opened, when the vehicle is unlocked via the door lock.
Switching off the alarm."
34002319_103.cml_Alarm_system_3	Alarm system	"Tailgate with the alarm system switched on Tailgate with the alarm system switched on Split soors with the alarm system switched on 

 The tailgate can be opened even when the alarm system is switched on. The tailgate can be opened even when the alarm system is switched on. The split doors can be opened even when the alarm system is switched on. After the trunk lid is closed, it is locked and monitored again when the doors are locked. The hazard warning system flashes once. After the tailgate is closed, it is locked and monitored again when the doors are locked. The hazard warning system flashes once. After the split doors are closed, they are locked and monitored again when the doors are locked. The hazard warning system flashes once."
34002319_103.cml_Alarm_system_4	Alarm system	"Panic mode

 You can trigger the alarm system if you find yourself in a dangerous situation.
Press button on the remote control for at least 3 seconds.
To switch off the alarm: press any button."
34002319_103.cml_Alarm_system_5	Alarm system	"Indicator lamp on the interior rearview mirror

 - The indicator lamp flashes briefly every 2 seconds:
The alarm system is switched on.
- Indicator lamp flashes for approx. 10 seconds, then it flashes briefly every 2 seconds:
Interior motion sensor and tilt alarm sensor are not active, as doors, hood, or tailgate are not correctly closed. Correctly closed access points are secured. Interior motion sensor and tilt alarm sensor are not active, as doors, hood, or split doors are not correctly closed. Correctly closed access points are secured. Interior motion sensor and tilt alarm sensor are not active, as doors, hood, or tailgate are not correctly closed. Correctly closed access points are secured. When the still open access points are closed, interior motion sensor and tilt alarm sensor will be switched on.
- The indicator lamp goes out after unlocking:
The vehicle has not been tampered with.
- The indicator lamp flashes after unlocking until the engine ignition is switched on, but no longer than approx. 5 minutes:
An alarm has been triggered."
34002319_103.cml_Alarm_system_6	Alarm system	"Tilt alarm sensor

 The tilt of the vehicle is monitored.
The alarm system responds in situations such as attempts to steal a wheel or when the car is towed."
34002319_103.cml_Alarm_system_7	Alarm system	"Interior motion sensor

 The windows and glass sunroof must be closed for the system to function properly. The windows must be closed for the system to function properly. The interior is monitored to the height of the seats. The alarm system is switched on together with the interior motion sensor even when the convertible top is open. Falling objects such as leaves can trigger the alarm unintentionally."
34002319_103.cml_Alarm_system_8	Alarm system	"Avoiding unintentional alarms

 The tilt alarm sensor and interior motion sensor can be switched off together, such as in the following situations:
- In automatic car washes.
- In duplex garages.
- During transport on trains carrying vehicles, at sea or on a trailer.
- With animals in the vehicle.Switching off the tilt alarm sensor and interior motion sensor

 Press the remote control button again within 10 seconds as soon as the vehicle is locked.
The indicator lamp lights up for approx. 2 seconds and then continues to flash.
The tilt alarm sensor and interior motion sensor are turned off until the vehicle is locked again."
34002319_103.cml_Alarm_system_9	Alarm system	"Switching off the alarm

 - Unlock vehicle with the remote control or switch on the ignition, if needed through emergency detection of remote control.
- If you have the remote control with you, unlock vehicle using the button on the driver's side or passenger side door. Unlock vehicle with the remote control or switch on the ignition, if needed through emergency detection of remote control."
34002516_318.cml_Automatic_climate_control,_overview_0	Automatic climate control, overview	"Automatic climate control, overview

 Temperature, left Display Air volume, AUTO intensity AUTO program Air distribution, manual Temperature, right Display Seat heating, right Maximum cooling Cooling function Recirculated air/autom. recirculated air Rear window defroster Windshield defroster Remove ice and condensation Seat heating, left"
34002818_191.cml_Speed_warning_0	Speed warning	"The concept

 Displays speed limit which, when reached, should cause a warning to be issued.
The warning is repeated if the vehicle speed drops below the set speed limit once by at least 5 km/h 5 km/h/3 mph 3 mph/5 km/h ."
34002818_191.cml_Speed_warning_1	Speed warning	"Displaying, setting or changing the limit

 On the Control Display:
1.  Settings 
2.  Speed 
3.  Warning at: 
4. Turn the Controller until the desired limit is displayed.
5. Press the Controller.The speed limit is stored. Displaying, setting or changing the limit

 1. Press button.
2.  Settings 
3.  Speed 
4.  Warning at: 
5. Turn the right knob until the desired limit is displayed.
6. Press the right button.The speed limit is stored. Activating/deactivating the limit

 On the Control Display:
1.  Settings 
2.  Speed 
3.  Warning 
4. Press the Controller. Activating/deactivating the limit

 1. Press button.
2.  Settings 
3.  Speed 
4.  Warning  Setting your current speed as the limit

 On the Control Display:
1.  Settings 
2.  Speed 
3.  Select current speed 
4. Press the Controller.
The current vehicle speed is stored as the limit. Setting your current speed as the limit

 1. Press button.
2.  Settings 
3.  Speed 
4.  Select current speed 
The current vehicle speed is stored as the limit."
34003274_168.cml_Blue_lights_0	Blue lights	"High beams

 High beams are activated.
For additional information, refer to High beams."
34003317_531.cml_Hood_0	Hood	"Information

 Working in the engine compartment
Never reach into the engine compartment
Danger of injury when the hood is open
Hood open when driving
Danger of jamming
Fold down wiper arm"
34003317_531.cml_Hood_1	Hood	"Opening the hood

 1. Pull lever, arrow 1.
Hood is unlocked.
2. After the lever is released, pull the lever again, arrow 2.
Hood can be opened.Indicator/warning lights

 When the hood is opened, a Check Control message is displayed."
34003317_531.cml_Hood_2	Hood	"Closing the hood

 Let the hood fall from approx. 40 cm 40 cm, approx. 16 in 16 inches/40 cm , arrow.
The hood must engage on both sides."
34003346_55.cml_Car_wash_0	Car wash	"General information

 In order to ensure that the vehicle can roll in a car wash, take the steps indicated below."
34003346_55.cml_Car_wash_1	Car wash	"When driving in

 1. Drive into the car wash.
2. Shift to neutral.
3. Switch the engine off.
4. Switch on the ignition. 1. Drive into the car wash.
2. Engage selector lever position N.
3. Make sure that the parking brake is released.
4. Press the Start/Stop button to switch off the engine. To start the engine:
1. Press on the clutch pedal.
2. Press the Start/Stop button. 1. Depress the brake pedal.
2. Press the Start/Stop button. Pressing the Start/Stop button without stepping on the brake turns the ignition off."
34003479_164.cml_Red_lights_0	Red lights	"Safety belt reminder

 Safety belt on the driver's side is not buckled. For some country-specific models: passenger belt is not worn or objects are detected on the front passenger seat. Flashing or illuminated: safety belt on the driver or passenger side is not buckled. The safety belt reminder can also be activated if objects are placed on the front passenger seat. Check whether the safety belt has been fastened correctly. Make sure that the safety belts are positioned correctly."
34003479_164.cml_Red_lights_1	Red lights	"Safety belt reminder for rear seats

 Red: the safety belt is not buckled on the corresponding rear seat.
Green: the safety belt is buckled on the corresponding rear seat."
34003479_164.cml_Red_lights_2	Red lights	"Airbag system

 Airbag system and belt tensioner are not working.
Have the vehicle checked immediately by a dealer's service center or another qualified service center or repair shop."
34003479_164.cml_Red_lights_3	Red lights	"Parking brake, brake system

   The parking brake is set.
For additional information, refer to Release parking brake. Parking brake

 The parking brake is set.
For additional information, refer to Release parking brake. Brake system

   Braking system disrupted. Continue to drive moderately.
Have the vehicle checked immediately by a dealer's service center or another qualified service center or repair shop. Front-end collision warning

 Illuminated: advance warning is issued, e.g., when there is the impending danger of a collision or the distance to the vehicle ahead is too small.
Increase distance.
Flashing: acute warning of the imminent danger of a collision when the vehicle approaches another vehicle at a relatively high differential speed.
Intervention by braking or make an evasive maneuver. Pedestrian warning

 If a collision with a person detected in this way is imminent, the symbol lights up and a signal sounds."
34003488_163.cml_General_information_0	General information	"The indicator and warning lights can light up in a variety of combinations and colors.
Several of the lights are checked for proper functioning and light up temporarily when the engine is started or the ignition is switched on."
34003496_149.cml_Washer/wiper_system_0	Washer/wiper system	"Switching the wipers on/off and brief wipe

 General information

 Do not use the wipers if the windshield is dry, as this may damage the wiper blades or cause them to become worn more quickly.
Information

 Do not activate wipers with wipers folded away
Do not activate wipers if frozen to windshield
Switching on

 The lever automatically returns to its initial position when released.
- Normal wiper speed: tap up once.
The wipers switch to intermittent operation when the vehicle is stationary.
- Fast wiper speed: tap up twice or tap once beyond the resistance point.
Wipers change to normal speed when vehicle comes to standstill.Switching off and brief wipe

 The lever automatically returns to its initial position when released.
- Single wipe: press down once.
- To switch off from normal wiper speed: press down once.
- To switch off from fast wiper speed: press down twice."
34003496_149.cml_Washer/wiper_system_1	Washer/wiper system	"Interval mode Interval mode or rain sensor 

 The concept

 Without the rain sensor, the frequency of the wiper operation is preset. The rain sensor automatically controls the time between wipes depending on the intensity of the rainfall. The sensor is located on the windshield, directly behind the interior mirror. Activating/deactivating

 Press button on the wiper lever.
Wiping is started. If the vehicle is equipped with a rain sensor: LED in wiper lever lights up.
When wipers are frozen to windshield, wiper operation is deactivated.
During trip interruption with the rain sensor switched on: if the trip is resumed within approx. 15 minutes, the rain sensor is automatically activated again. Deactivate the rain sensor in car washes Setting the frequency Setting the frequency or sensitivity of the rain sensor 

 Turn the thumbwheel to adjust the frequency or sensitivity of the rain sensor.
Up: short interval or high sensitivity of the rain sensor.
Down: long interval or low sensitivity of the rain sensor."
34003496_149.cml_Washer/wiper_system_2	Washer/wiper system	"Washing the windshield

 Pull the wiper lever towards you.
The system sprays washer fluid on the windshield and activates the wipers briefly.
Do not use the washer system at freezing temperatures
Do not use the washer system when the wiper water container is empty"
34003496_149.cml_Washer/wiper_system_3	Washer/wiper system	"Windshield washer nozzles

 The windshield washer nozzles are automatically heated while the ignition is switched on. Rear window wiper

 Switching on the rear window wiper

 Turn the switch from idle position 0 upward, arrow 1: interval mode. When reverse gear is engaged, the system switches to continuous operation.
Cleaning rear window

 In interval mode: turn the switch further, arrow 2. The switch automatically returns to its interval position when released.
In idle position: turn switch downward, arrow 3. The switch automatically returns to its idle position when released."
34003496_149.cml_Washer/wiper_system_4	Washer/wiper system	"Fold-away position of the wipers

 Helpful, when changing the wiper blades or when folding out under frosty conditions, for example.
Fold the wipers back down
1. Switch the ignition on and off again.
2. With icy conditions make sure that blades are not frozen to the windshield.
3. Press the wiper lever up beyond the point of resistance and hold it for approx. 3 seconds, until the wipers remain in a nearly vertical position.
4. Lift the wiper all the way off of the windshield.After the wipers are folded back down, the wiper system must be reactivated.
1. Switch on the ignition.
2. Push wiper lever down. Wipers return to their resting position and are ready again for operation."
34004028_242.cml_Warning_with_braking_function_0	Warning with braking function	"Display

 If a collision with a recognized vehicle is imminent a warning symbol appears in the instrument cluster and in the Head-Up Display. If a collision with a vehicle detected in this way is imminent, a warning symbol appears on the instrument cluster. Symbol
Measure
Symbol lights up red: prewarning.
Brake and increase distance.
Symbol flashes red and an acoustic signal sounds: acute warning.
You are requested to intervene by braking or make an evasive maneuver."
34004028_242.cml_Warning_with_braking_function_1	Warning with braking function	"Prewarning

 This warning is issued, for example, when there is the impending danger of a collision or the distance to the vehicle ahead is too small.
The driver must intervene actively when there is a prewarning."
34004028_242.cml_Warning_with_braking_function_2	Warning with braking function	"Acute warning with braking function

 Acute warning in displayed in case of the imminent danger of a collision when the vehicle approaches another object at a high differential speed.
The driver must intervene actively when there is an acute warning. If necessary, the driver is assisted by a minor automatic braking intervention in a possible risk of collision.
Acute warnings can also be triggered without previous forewarning."
34004028_242.cml_Warning_with_braking_function_3	Warning with braking function	"Braking intervention

 The warning prompts the driver himself/herself to react. During a warning, the maximum braking force is used. Premise for the brake booster is sufficiently quick and sufficiently hard stepping on the brake pedal. The system can assist with some braking intervention if there is risk of a collision. At low speeds vehicles may thus come to a complete stop.
Manual transmission: During a braking intervention up to a complete stop, the engine may be shut down. The braking intervention is executed only if DSC Dynamic Stability Control is switched on. The braking intervention is executed only if vehicle stability has not been restricted, e.g. by deactivating the DSC Dynamic Stability Control. The braking intervention can be interrupted by stepping on the accelerator pedal or by actively moving the steering wheel.
Object detection can be restricted. Limitations of the detection range and functional restrictions are to be considered."
34004536_60.cml_Warning_triangle,_first-aid_kitWarning_triangleInclude_text_196_0	Warning triangle, first-aid kit Warning triangle Include text 196	"First-aid kit

 The first-aid kit is located in the cargo area."
34004536_60.cml_Warning_triangle,_first-aid_kitWarning_triangleInclude_text_196_1	Warning triangle, first-aid kit Warning triangle Include text 196	"Warning triangle

 The warning triangle is located in the tailgate. To remove, loosen the brackets. The warning triangle is located under the cargo floor panel."
34004536_60.cml_Warning_triangle,_first-aid_kitWarning_triangleInclude_text_196_2	Warning triangle, first-aid kit Warning triangle Include text 196	"include text 108

 include text 109"
34006236_534.cml_Electronic_oil_measurement_0	Electronic oil measurement	"Status display

 The concept

 The engine oil level is monitored electronically while driving and shown on the radio display.
If the engine oil level reaches the minimum level, a check control message is displayed. The concept

 The engine oil level is monitored electronically while driving and shown on the Control Display.
If the engine oil level reaches the minimum level, a check control message is displayed. Requirements

 A current measured value is available after approx. 30 minutes of driving. During a shorter trip, the status of the last, sufficiently long trip is displayed.
With frequent short-distance trips, perform a detailed measurement.
Displaying the engine oil level

 On the Control Display:
1.  Vehicle info 
2.  Vehicle status 
3.  Engine oil level  Engine oil level display messages

 Different messages appear on the display depending on the engine oil level. Pay attention to these messages.
If the engine oil level is too low within the next 200 km 200 km, approx. 120 miles 125 miles/200 km , add engine oil.
Engine oil level too low
Take care not to add too much engine oil.
Too much engine oil"
34006236_534.cml_Electronic_oil_measurement_1	Electronic oil measurement	"Detailed measurement

 The concept

 In the detailed measurement the engine oil level is checked when the vehicle is stationary, and displayed via a scale.
If the engine oil level reaches the minimum level, a check control message is displayed. If the engine oil level reaches the minimum level or an overfilling is detected, a check control message is displayed. During the measurement, the idle speed is increased somewhat.
Requirements

 - Vehicle is parked in a horizontal position.
- Shift lever in neutral position, clutch and accelerator pedals not depressed.
- Selector lever in selector lever position N or P and accelerator pedal not depressed.
- Engine is running and is at operating temperature.Performing a detailed measurement

 In order to perform a detailed measurement of the engine oil level: Confirm message regarding engine oil level display. On the Control Display: 1.  Vehicle info 
2.  Vehicle status 
3.  Measure engine oil level 
4.  Start measurement  The engine oil level is checked and displayed via a scale.
Time: approx. 1 minute."
34006508_289.cml_Malfunction_0	Malfunction	"A Check Control message is displayed if the system fails or was automatically deactivated.
The system may not be fully functional in the following situations:
- When an object was not correctly detected.
- In heavy fog, rain, sprayed water or snowfall.
- In tight curves.
- If the field of view of the camera or the front windshield are dirty or covered.
- When driving toward bright lights.
- Up to 20 seconds after the start of the engine, via the Start/Stop button.
- During calibration of the camera immediately after vehicle delivery."
34006576_635.cml_Coolant_0	Coolant	"Hot engine
Do not open the cooling system while the engine is hot; otherwise, escaping coolant may cause burns.
Suitable additives
Only use suitable additives; otherwise, engine damage may occur. The additives are harmful to your health."
34006576_635.cml_Coolant_1	Coolant	"Checking the coolant level

 There are yellow Min and Max marks in the coolant reservoir.
1. Let the engine cool.
2. Turn the coolant reservoir lid counterclockwise to unscrew and open it.
3. The coolant level is correct if it lies between the minimum and maximum marks in the filler neck."
34006576_635.cml_Coolant_2	Coolant	"Adding

 1. Let the engine cool.
2. Turn the coolant reservoir lid counterclockwise to unscrew and open it.
3. If the coolant is low, slowly add coolant up to the specified level; do not overfill.
4. Close cap.
5. Have the cause of the coolant loss eliminated as soon as possible."
34009512_573.cml_Car_washes_0	Car washes	"General information

 Regularly remove foreign objects such as leaves in the area below the windshield when the hood is raised.
Wash your vehicle frequently, particularly in winter. Intense soiling and road salt can damage the vehicle."
34009512_573.cml_Car_washes_1	Car washes	"Steam jets or high-pressure washers

 Information

 Steam jets or high-pressure washers
Distances and temperature

 - Maximum temperature: 60 °C 60 °C/140 °F 140 °F/60 °C .
- Minimum distance from sensors, cameras, seals: 30 cm 30 cm, approx. 12 in 12 inches/30 cm .
- Minimum distance from glass sunroof: 80 cm 80 cm, approx. 31.5 inches 31.5 inches/80 cm ."
34009512_573.cml_Car_washes_2	Car washes	"Automatic car washes

 Information

 Do not use high pressure washing systems Danger of property damage
In some cases, an unintentional alarm can be triggered by the interior motion sensor of the alarm system. Follow the instructions on avoiding an unintentional alarm. With front PDC: to reduce PDC false alarms, switch off automatic PDC activation on obstacle detection, for example in car washes. Before driving into a car wash

 In order to ensure that the vehicle can roll in a car wash, take the following steps:
1. Drive into the car wash.
2. Shift to neutral.
3. Switch the engine off.
4. Switch on the ignition. 1. Drive into the car wash.
2. Engage selector lever position N.
3. Make sure that the parking brake is released.
4. Press the Start/Stop button to switch off the engine.
In this way, the ignition remains switched on, and a Check-Control message is displayed. In this way, the ignition remains switched on, and two Check-Control messages are displayed. A signal sounds when you leave the vehicle while in selector lever position N. The vehicle cannot be locked from the outside when in selector lever position N. A signal is sounded when an attempt is made to lock the vehicle. To start the engine:
1. Press on the clutch pedal.
2. Press the Start/Stop button. 1. Depress the brake pedal.
2. Press the Start/Stop button. Selector lever position

 Selector lever position P is engaged automatically:
- When the ignition is switched off.
- After approx. 15 minutes."
34009512_573.cml_Car_washes_3	Car washes	"Headlights

 - Do not rub dry and do not use abrasive or acidic cleansers.
- Soak areas that have been dirtied e. g., from insects, with shampoo and wash off with water.
- Thaw ice with de-icing spray; do not use an ice scraper."
34009512_573.cml_Car_washes_4	Car washes	"After washing the vehicle

 After washing the vehicle, apply the brakes briefly to dry them; otherwise, braking action can be reduced and corrosion of the brake discs can occur.
Completely remove all residues on the windows, to minimize loss of visibility due to smearing and to reduce wiper noises and wiper blade wear."
34009676_92.cml_Opening_and_closing_0	Opening and closing	"Doors

 Always close the doors fully"
34009854_115.cml_Overview_0	Overview	"Front seat adjustment

 Forward/backward Thigh support Height Backrest tilt"
34010291_136.cml_The_right_place_for_children_0	The right place for children	"Information

 Children in the vehicle"
34010291_136.cml_The_right_place_for_children_1	The right place for children	"Suitable seating positions

 Information regarding the usability of child seats on the respective seats if the child seat is secured using a safety belt — according to standard ECE-R 16: You can find a detailed overview in the printed Owner's Manual. Information regarding the usability of child seats on the respective seats if the child seat is secured using a safety belt — according to standard GB 14166.– 2013. You can find a detailed overview in the printed Owner's Manual. include text 56"
34010291_136.cml_The_right_place_for_children_2	The right place for children	"Children should always be in the rear

 Transporting children in the rear
Accident research shows that the safest place for children is in the rear seat.
Only transport children younger than 12 years of age or shorter than 150 cm 150 cm, 5 ft  in the rear in child restraint systems provided in accordance with the age, weight and size of the child. Only transport children younger than 13 years of age or shorter than 5 ft, 150 cm in the rear in suitable child restraint systems provided in accordance with the age, weight and size of the child. Children 13 years of age or older must wear a safety belt as soon as a suitable child restraint system can no longer be used due to their age, weight and size. Transporting children in the rear"
34010291_136.cml_The_right_place_for_children_3	The right place for children	"Children on the front passenger seat

 Before using a child restraint system on the front passenger seat, ensure that the front and side airbags on the front passenger side are deactivated. The front-seat passenger airbags can only be deactivated with the key switch for front-seat passenger airbags. Before using a child restraint system on the front passenger seat, ensure that the front, knee, and side airbags on the front passenger side are deactivated. Automatic deactivation of front-seat passenger airbags. Information

 Deactivating the front-seat passenger airbags
Stability of the child seat"
34010765_212.cml_Welcome_lights_and_headlight_courtesy_delay_feature_0	Welcome lights and headlight courtesy delay feature	"Welcome lights

 General information

 Depending on the equipment, when switching off the vehicle, switch positionor.
Depending on the ambient brightness, individual light functions may be switched on briefly, when the vehicle is unlocked.
Activating/deactivating

 Set via radio. 1. Press button.
2.  Settings 
3.  Lighting 
4.  Welcome light  1.  Settings 
2.  Lighting 
3.  Welcome lights  Settings are stored for the profile currently used."
34010765_212.cml_Welcome_lights_and_headlight_courtesy_delay_feature_1	Welcome lights and headlight courtesy delay feature	"Headlight courtesy delay feature

 General information

 The low beams stay lit for a short while if the headlight flasher is switched on after the vehicle's radio-ready state is switched off.
Setting the duration

 Set via radio. 1. Press button.
2.  Settings 
3.  Lighting 
4.  Pathway lighting: 
5. Set length of time. 1.  Settings 
2.  Lighting 
3.  Pathway lighting: 
4. Set length of time. Settings are stored for the profile currently used."
34010957_640.cml_Replacing_the_battery_0	Replacing the battery	"1. Remove integrated key from remote control.
2. Slide the key into the opening and raise the cover.
The battery compartment is accessible.
3. Slide the key in the cover of the battery compartment and raise the cover.
4. Insert a battery of the same type with the positive side facing up.
5. Insert lid and cover.
6. Push key into the remote control until it engages.Have old batteries disposed of by a dealer's service center or another qualified service center or repair shop or take them to a collection point. include text 12"
34011254_527.cml_Run-flat_tires_0	Run-flat tires	"Label

 RSC label on the tire sidewall.
The wheels are composed of tires that are self-supporting to a limited degree.
The support of the sidewall allows the tire to remain drivable to a restricted degree in the event of a tire inflation pressure loss.
Continued driving with a flat tire. Continued driving with a flat tire. Do not repair run-flat tires"
34011254_527.cml_Run-flat_tires_1	Run-flat tires	"Changing run-flat tires

 For your own safety, only use run-flat tires. No spare tire is available in the case of a flat tire.
A dealer's service center will be glad to answer additional questions at any time. A dealer's service center will be glad to answer additional questions at any time."
34011298_175.cml_Messages_after_trip_completion_0	Messages after trip completion	"Special messages displayed while driving are displayed again after the ignition is switched off."
34011315_528.cml_Snow_chains_0	Snow chains	"Fine-link snow chains

 The manufacturer of your vehicle recommends use of fine-link snow chains. Certain types of fine-link snow chains have been tested by the manufacturer of the vehicle and recommended as road-safe and suitable.
Information regarding suitable snow chains is available from a dealer's service center or another qualified service center or repair shop."
34011315_528.cml_Snow_chains_1	Snow chains	"Use

 Use only in pairs on the front wheels, equipped with the tires of the following size:
- 195/60 R 16.
- 195/55 R 17. - 175/65 R 15.
- 175/60 R 16. John Cooper Works: - 185/50 R 17. Follow the snow chain manufacturer's instructions.
Make sure that the snow chains are always sufficiently tight. Re-tighten as needed according to the snow chain manufacturer's instructions.
Do not initialize the Flat Tire Monitor after mounting snow chains, as doing so may result in incorrect readings. Do not initialize the Tire Pressure Monitor after mounting snow chains, as doing so may result in incorrect readings. When driving with snow chains, briefly activate Dynamic Traction Control if needed."
34011315_528.cml_Snow_chains_2	Snow chains	"Maximum speed with snow chains

 Do not exceed a speed of 50 km/h 50 km/h, approx. 30 mph 30 mph/50 km/h  when using snow chains."
34011428_263.cml_GREEN_0	GREEN	"GREEN provides consistent tuning to maximize range."
34011428_263.cml_GREEN_1	GREEN	"Activating GREEN

 Turn Driving Dynamics Control to the right until GREEN is displayed in the instrument cluster."
34011428_263.cml_GREEN_2	GREEN	"Configuring GREEN

 Via the Driving Dynamics Control

 1. Activate GREEN.
2.  Configure GREEN 
3. Configure the program.This configuration is retrieved when GREEN is activated.
Via onboard monitor:

 1.  Settings 
2.  GREEN Mode or 1.  Settings 
2.  Driving mode 
3.  Configure GREEN  Configure the program.
This configuration is retrieved when GREEN is activated. Configuring GREEN

 Via the Driving Dynamics Control

 1. Activate GREEN.
2.  Configure GREEN 
3. Configure the program.Via radio

 1. Press button.
2.  Settings 
3.  Driving mode 
4.  Configure GREEN 
5. Configure the program.For vehicles without a configurable SPORT program:
1. Press button.
2.  Settings 
3.  GREEN Mode 
4. Configure the program.This configuration is retrieved when GREEN is activated."
34012808_2.cml_Owner's_Manual_on_the_Control_Display_0	Owner's Manual on the Control Display	"Vehicle specific Owner's Manual

 The Owner's Manual is displayed on the Control Display in accordance with the equipment in your vehicle."
