33226224_635.cml_Service_messages_0	Service messages	"Service messages."
33243897_596.cml_Redialing_2	Redialing	"Select number via iDrive 

 On the Control Display:
1.  Telephone 
2.  Redial 
3. Select the desired entry and the phone number if needed.
The connection is established via the mobile phone that contains the list from which the entry originates.The connection can be established via the other mobile phone: 1. Highlight the entry.
2. Open  Options .
3.  Call via "
33243897_596.cml_Redialing_3	Redialing	"Saving an entry in the contacts

 On the Control Display:
1. Highlight the entry.
2. Open  Options .
3.  Store as new contact  or  Add to existing contact 
4. Select the contact, if needed.
5. Select the type of number:  Home ,  Business ,  Mobile  or  Other .
6. Complete the entries if needed.
7.  Store contact  Deleting entry or list

 On the Control Display:
1. Highlight the desired entry.
2. Open  Options .
3.  Delete entry  or  Delete list "
33244207_628.cml_Deleting_contacts_0	Deleting contacts	"Only contacts that are stored in the vehicle are deleted. The contacts on the mobile phone cannot be deleted. Only contacts that are stored in the vehicle are deleted. The contacts on the mobile phone or at BMW Online cannot be deleted. On the Control Display:
1.  Office 
2.  Contacts 
3. Highlight the contact.
4. Open  Options .
5.  Delete contact  or  Delete all contacts .
6. If necessary,  Yes "
33244360_631.cml_Displaying_messages_0	Displaying messages	"On the Control Display:
1.  Office 
2.  Messages 
The most recent messages are displayed.You can choose whether the messages are to be transferred from a mobile phone. The messages can also be transferred from both connected mobile phones.
If several e-mail accounts are assigned to a mobile phone, you can choose from which one of the accounts the messages should be displayed.
1. Open  Options .
2. Select the mobile phone and if needed the accounts from which the messages are to be transferred.A symbol identifies the type of message.
Symbol
Message type
 
Text messages.
My Info. Message from the Concierge service. Message from the Concierge service.  
E-mail from mobile phone.
To display a message, select it."
33244377_644.cml_General_information_0	General information	"Contacts can be created and edited. The contacts from the mobile phone are also displayed. Addresses can be adopted as destinations for navigation and the phone numbers can be dialed."
33244388_669.cml_Remote_Services_0	Remote Services	"The concept

 With remote services, a connection can be established between a compatible smartphone and the vehicle. This can be used to lock and unlock the vehicle, for instance."
33244388_669.cml_Remote_Services_1	Remote Services	"General information

 Other functions may be available, depending on the vehicle.
The BMW ConnectedDrive app must be downloaded to execute these functions. Operation can be performed via the app. The BMW i Remote app must be downloaded to execute these functions. Operation can be performed via the app. Functions must first be activated in the ConnectedDrive customer portal before they can be used. An active BMW ConnectedDrive contract is required.
Alternatively, certain function can also be selected via the BMW ConnectedDrive Callcenter. Alternatively, certain function can also be selected via the ConnectedDrive Call Center. The Owner's Manual for the BMW ConnectedDrive app can be found on the ConnectedDrive customer portal or at bmw.com. The Owner's Manual for the BMW i Remote app can be found on the ConnectedDrive customer portal or at bmw.com."
33244392_790.cml_Telephone_0	Telephone	"Function
Command
 Telephone , Open the menu.
 Telephone 
Open upon contact from the phone book.
 Call ... 
Display the phone book.
 Phonebook 
Redialing, display the list of dialed numbers.
 Redial 
Display the list of received calls.
 Received calls 
Display the list of messages.
 Messages  Switch phones.
 Swap telephones "
34076263_566.cml_Online_Entertainment_0	Online Entertainment	"The concept

 iDrive can be used to access an online music service. The music provided there can be played and stored in the vehicle. Stored tracks can also be played when there is no mobile communication connection.
The owner's manual for Online Entertainment is available on the Internet."
34305344_324.cml_The_concept_0	The concept	"The Driving Dynamics Control helps to fine-tune the vehicle's settings and features. Various programs can be selected for this purpose. The Driving Dynamics Control and the DSC OFF buttons can each be used to activate a program. The Driving Dynamics Control helps to fine-tune the vehicle's settings and features. Various programs can be selected for this purpose. Information

 Pressing the Driving Dynamics Control deactivates the Sport program of the vehicle. The selector lever automatically switches out of the Sport program in selector lever position D. Use the Driving Dynamics Control to select the COMFORT or ECO PRO programs."
34306315_447.cml_In_the_front_passenger_floor_area_0	In the front passenger floor area	"The socket is located below the glove compartment."
34306589_316.cml_DTC_Dynamic_Traction_Control_0	DTC Dynamic Traction Control	"The concept

 DTC is a version of the DSC where forward momentum is optimized.
The system ensures maximum headway on special road conditions or loose road surfaces, for example unplowed snowy roads, but with somewhat limited driving stability.
When DTC is activated, the vehicle has maximum traction. Driving stability is limited during acceleration and when driving in curves.
Therefore drive with appropriate caution.
You may find it useful to briefly activate DTC under the following special circumstances:
- When driving in slush or on uncleared, snow-covered roads.
- When freeing vehicle from deep snow or driving off from loose grounds.
- When driving with snow chains."
34306589_316.cml_DTC_Dynamic_Traction_Control_1	DTC Dynamic Traction Control	"Deactivating/activating DTC Dynamic Traction Control

 Activating DTC

 Press button.
TRACTION is displayed in the instrument cluster and the indicator lamp for DSC OFF lights up. 1.  Settings 
2.  Traction control 
3.  TRACTION 
TRACTION and the DSC OFF indicator lamp lights up. Deactivating DTC

 Press button again.
TRACTION and the DSC OFF indicator lamp go out. 1.  Settings 
2.  Traction control 
3.  Normal 
TRACTION and the DSC OFF indicator lamp go out. When drive readiness is switched on, DTC is automatically deactivated."
34306757_157.cml_Information_0	Information	"Before leaving the vehicle"
34306785_28.cml_Indicator/warning_lights_0	Indicator/warning lights	"Instrument cluster

 The indicator and warning lights can light up in a variety of combinations and colors.
Several of the lights are checked for proper functioning and light up temporarily when drive readiness is established. Several lights indicate function checks and light up only temporarily when drive readiness or operating readiness are activated. Several of the lights are checked for proper functioning and light up temporarily when the engine is started or the ignition is switched on."
34306842_479.cml_ECO_PROECO_PRO_and_ECO_PRO+_0	ECO PRO ECO PRO and ECO PRO+	"Overview

 With ECO PRO and ECO PRO+ different settings are made in the respective mode. ECO PRO

 - Reduce heat output or heating cycle for exterior mirror, rear window and seat heating.
- What reduces the cooling and heating output of the climate control system.
- The speed is limited to an adjustable maximum value between 80 km/h 80 km/h, 50 mph 50 mph/80 km/h  and 130 km/h 130 km/h, 80 mph 80 mph/130 km/h . To intentionally exceed the speed limit, press the accelerator pedal all the way down.ECO PRO+

 The cooling and heating output of the climate control system are additionally deactivated on ECO PRO+ activation.
The low beams are dimmed. The maximum speed is limited to 90 km/h 90 km/h, 55 mph 55 mph/90 km/h . In special situations, the speed limit can be consciously exceeded by applying the accelerator pedal."
34307264_105.cml_Safety_of_the_high-voltage_system_0	Safety of the high-voltage system	"Working on the vehicle

 Body work"
34307264_105.cml_Safety_of_the_high-voltage_system_1	Safety of the high-voltage system	"Hybrid system: contact with water High-voltage system: contact with water 

 The hybrid system is typically safe even in the following example situations: The high-voltage system is typically safe even in the following example situations: - Water in the floor area, for instance after a rainstorm when sunroof was kept open.
- Vehicle is in water but only up to the allowed height.
- Fluid escapes in the cargo area."
34307264_105.cml_Safety_of_the_high-voltage_system_2	Safety of the high-voltage system	"Hybrid system: automatic deactivation High-voltage system: automatic deactivation 

 If an accident occurs, the hybrid system is switched off automatically to prevent risk of danger to occupants and other traffic. If an accident occurs, the high-voltage system is switched off automatically to prevent risk of danger to occupants and other traffic. Read the information on What to do after an accident."
34307883_87.cml_Touchpad_0	Touchpad	"Some iDrive functions can be operated using the touchpad on the Controller.
Selecting functions

 1.  Settings 
2.  Touchpad 
3. Select the desired function.
-  Speller : enter letters and numbers.
-  Interactive map : viewing the interactive map.
-  Browser : enter Internet addresses.
-  Audio feedback : pronounces entered letters and numbers. Entering letters and numbers

 Entering letters requires some practice at the beginning. When entering, pay attention to the following:
- The system distinguishes between upper and lower-case letters and numbers. For entry, it may be necessary to change between upper and lower-case letters, numbers and characters.
- Enter characters as they are displayed on the Control Display.
- Always enter associated characters, such as accents or periods so that the letter can be clearly recognized. Possible input depends on the set language. Where necessary, enter special characters via the Controller.
- To delete a character, slide to the left on the touchpad.
- To enter a blank space, slide to the right in the center of the touchpad.
- To enter a hyphen, slide to the right in the upper area of the touchpad.
- To enter an underscore, swipe to the right in the lower area of the touchpad. Entering letters and characters

 Letters, numbers and characters can be entered via the touchpad.
1. Select input mode.
-  n. t. a. (ASIA Speller) 
-  n. t. a. (ASIA Speller) 
-  n. t. a. (ASIA Speller) 
-  n. t. a. (CH/JP/KO) 
-  n. t. a. (ASIA Speller) 
2. Entering characters or Latin letters via the touchpad.
Input mode  n. t. a. (ASIA Speller)  or  n. t. a. (ASIA Speller) : 5 characters that the system identifies as being the most likely are displayed. If the first character is correct, enter the next character via the touchpad. To adopt one of the other characters, select the desired characters with the Controller. Input mode  n. t. a. (ASIA Speller)  or  n. t. a. (CH/JP/KO) : 5 characters that the system identifies as being the most likely are displayed. If the first character is correct, enter the next character via the touchpad. To adopt one of the other characters, select the desired characters with the Controller. To delete a character, slide to the left on the touchpad. Entering letters and characters

 Letters, numbers and characters can be entered via the touchpad.
1.  n. t. a. (KOREA/JAPAN Speller) 
2. Select input mode if needed.
-  n. t. a. (ASIA) 
-  n. t. a. (ASIA) 
-  n. t. a. (ASIA) 
-  n. t. a. (ASIA) 
3. Entering characters or Latin letters via the touchpad.
Input mode  n. t. a. (ASIA)  or  n. t. a. (ASIA) : 5 characters that the system identifies as being the most likely are displayed. If the first character is correct, enter the next character via the touchpad. To adopt one of the other characters, select the desired characters with the Controller. Input mode  n. t. a. (ASIA) : 5 characters that the system identifies as being the most likely are displayed. If the first character is correct, enter the next character via the touchpad. To adopt one of the other characters, select the desired characters with the Controller. To delete a character, slide to the left on the touchpad."
34307883_87.cml_Touchpad_1	Touchpad	"Using interactive map Using interactive map and Internet 

 The interactive map in the navigation system can be moved via the touchpad. Via touch-pad move the interactive map in the navigation system and Internet sites. Function
Controls
Interactive map.
Swipe into respective direction.
Enlarge/shrink interactive map.
Drag in or out on the touchpad with fingers.
Display menu.
Tap once. Function
Controls
Move interactive map or Internet sites.
Swipe into respective direction.
Enlarge/shrink interactive map or Internet sites.
Drag in or out on the touchpad with fingers.
Display the menu or open a link in the Internet.
Tap once."
34307883_87.cml_Touchpad_2	Touchpad	"Changing settings

 You may change Control Display settings, for example the volume, via touchpad. Swipe left or right accordingly. System limits

 Text entry via the touchpad is limited in certain cases.
- Cursive handwriting is not recognized. Enter letters in block liditals.
- Special characters are not recognized.
- The system cannot distinguish between upper and lower case characters."
34308764_241.cml_Odometer_and_trip_odometer_0	Odometer and trip odometer	"Display

 - Odometer, arrow 1.
- Odometer, arrow 1, Scope of the onboard computer.
- Trip odometer, arrow 2. - Odometer, scope of the onboard computer.
- Trip odometer, lower right display in the instrument cluster."
34308764_241.cml_Odometer_and_trip_odometer_1	Odometer and trip odometer	"Show/reset kilometers: TRIP Show/reset kilometers 

   Press the knob.
- When the ignition is switched off, the time, the external temperature and the odometer are displayed.
- When the ignition is switched on, the trip odometer is reset. - With operating readiness turned off, the time, the external temperature and the odometer are displayed.
- When operating readiness is switched on, the trip odometer is reset."
34309471_355.cml_Cornering_0	Cornering	"If the desired speed is too high for a curve, the speed is reduced slightly, although curves cannot be anticipated in advance. Therefore, drive into a curve at an appropriate speed.
In tight curves the system offers only restricted detection where a vehicle ahead of you might be detected late or not at all.
  When you approach a curve the system may briefly report vehicles in the next lane due to the bend of the curve. If the system decelerates you may compensate it by briefly accelerating.
After releasing the gas pedal the system is reactivated and controls speed independently. After releasing the gas pedal the system is reactivated and controls speed independently."
34309593_262.cml_Daytime_running_lights_0	Daytime running lights	"General information

 The daytime running lights light up when the ignition is switched on. Position of switch:, The daytime running lights light up when operating readiness is switched on. Position of switch:,, The daytime running lights light up when the ignition is switched on. After the ignition is switched off, the parking lights light up in position. Position of switch:,, The daytime running lights light up when operating readiness is switched on. After operating readiness is switched off, the parking lights light up in position."
34309593_262.cml_Daytime_running_lights_1	Daytime running lights	"Activating/deactivating

 In some countries, daytime running lights are mandatory, so it may not be possible to deactivate the daytime running lights.
On the Control Display:
1.  Settings 
2.  Lighting 
3.  Daytime running lamps Settings are stored for the profile currently used."
34310094_354.cml_Unexpected_lane_change_0	Unexpected lane change	"If a vehicle ahead of you unexpectedly moves into another lane from behind a stopped vehicle, you yourself must react, as the system does not react to stopped vehicles."
34310470_356.cml_Driving_away_0	Driving away	"In some situations, the vehicle cannot drive off automatically; for example:
- On steep inclines.
- From behind bumps in the road.
- With a heavy trailer.In these cases, step on the accelerator pedal. In these cases, step on the accelerator pedal."
34310946_714.cml_Information_0	Information	"Danger of burns from hot engine Suitable additives
Coolant consists of water and additives.
The vehicle's cooling circuits are filled with different types of coolant. Do not mix the different types of coolant. Not all commercially available additives are suitable for the vehicle. Information about suitable additives is available from a dealer's service center or another qualified service center or repair shop."
34311497_99.cml_Overview_0	Overview	"eDrive components

 Vehicle battery Vehicle battery, AC charging socket Fuel filler flap High-voltage battery Charging socket DC charging socket Drive unit"
34311537_731.cml_Turn_signal_in_exterior_mirror_0	Turn signal in exterior mirror	"Follow general instructions.
The turn signals in the exterior mirrors feature LED technology. In the case of a malfunction, contact a dealer's service center or another qualified service center or repair shop."
34311566_113.cml_Doors_0	Doors	"Information

 Always close the doors fully Automatic Soft Closing

 To close the doors, push lightly.
It is closed automatically.
Danger of jamming"
34313237_242.cml_External_temperature_0	External temperature	"If the indicator drops to +3 °C +3 °C/+37 °F +37 °F/+3 °C  or lower, a signal sounds.
A Check Control message is displayed.
There is an increased risk of ice on roads. If the indicator drops to +3 °C +3 °C/+37 °F +37 °F/+3 °C  or lower, a signal sounds. A Check Control message is displayed. There is an increased risk of ice on roads. Ice on roads"
34313456_321.cml_Dynamic_Damping_Control_0	Dynamic Damping Control	"The concept

 This system reduces undesirable vehicle motion when using a dynamic driving style or traveling on uneven road surfaces.
The system enhances driving dynamics and comfort fitting road surface and driving style."
34313456_321.cml_Dynamic_Damping_Control_1	Dynamic Damping Control	"Programs

 The system offers several different programs.
The programs can be selected via Driving Dynamics Control.
SPORT 

 Consistently sporty control of the shock absorbers for greater driving agility. SPORT+

 Consistently sporty control of the shock absorbers for greater driving agility when driving with limited driving stabilization. COMFORT/ECO PRO 

 Balanced control of the vehicle."
34313892_231.cml_Text_messages_0	Text messages	"Text messages in combination with a symbol in the instrument cluster explain a Check Control message and the meaning of the indicator and warning lights."
34314488_61.cml_Hazard_warning_flashers_0	Hazard warning flashers	"Hazard warning flashers

    The button is located in the center console."
34314726_360.cml_Malfunction_0	Malfunction	"The system cannot be activated if the radar sensor is not aligned correctly. This may be caused by damage incurred during parking, for example. A Check Control message is displayed if the system fails.
The function for detecting and responding when approaching stationary vehicles may be limited in the following situations: The system may not be fully functional in the following situations: - During calibration of the camera immediately after vehicle delivery.
- If the camera is malfunctioning or dirty. A Check Control message is displayed. - When an object was not correctly detected.
- In heavy fog, rain, sprayed water or snowfall.
- In tight curves.
- If the field of view of the camera or the front windshield are dirty or covered.
- When driving toward bright lights.
- Up to 20 seconds after drive readiness is switched on via the Start/Stop button.
- During calibration of the camera immediately after vehicle delivery."
34314800_322.cml_Variable_sport_steering_0	Variable sport steering	"The variable sport steering increases the steering angle of the front wheels at large steering wheel angles, for example, in tight curves or when parking. Steering becomes more direct.
It also varies the force required to turn the wheels in accordance with the vehicle speed.
This results in a sporty steering response. In addition, it becomes easier to steer during parking and maneuvering."
34314887_141.cml_Rear_head_restraints_0	Rear head restraints	"Information

 Before transporting passengers
Reduced protective function"
34314887_141.cml_Rear_head_restraints_1	Rear head restraints	"Correctly adjusted head restraint

 General information

 A correctly adjusted head restraint reduces the risk of injury to cervical vertebrae in the event of an accident. Height

 Adjust the head restraint so that its center is approximately at eye level. Adjusting the height

   - To raise: push.
- To lower: press button, arrow 1, and push headrest down.The center head restraint cannot be adjusted in elevation. Folding down head restraints

   - To lower flaps: press the button, arrow 1, and press down the head restraint, arrow 2.
- Fold back up: pull up head restraints."
34314887_141.cml_Rear_head_restraints_2	Rear head restraints	"Removing

 Only remove the head restraint if no one will be sitting in the seat in question.
Fold the seat down before removing the head restraint, otherwise the head restraint cannot be removed.   1. Raise the head restraint up against the resistance.
2. Press button, arrow 1, and pull the head restraint out completely."
34315384_474.cml_Trailer_towing_0	Trailer towing	"General information

 The permissible trailer loads, axle loads, drawbar node weights, and the permissible gross vehicle weight are specified in the technical data. Your dealer's service center or another qualified service center or repair shop is familiar with possibilities for increasing. The vehicle is equipped with an enhanced suspension system on the rear axle and, depending on the vehicle type, with a more powerful cooling system. Information

 Towing mode

 The Australia-New Zealand standard, AS 4177.1-2004 Caravan and light trailer towing components – towbars and towing brackets, contains the following stipulations that the BMW Group Australia herewith adopts: ONLY FOR TRAILER OPERATION. The trailer tow hitch delivered with your BMW vehicle should only be used for towing purposes, and not in combination with any kind of transport device that is attached to the trailer tow hitch, i.e. a bicycle carrier or similar.
Since all towing devices from the BMW Group are designed, checked, and approved as a unit, modifications or replacements of the ball head support unit delivered by BMW are not permissible. Please use the original BMW ball head support unit only.
The installation and use of load distributing trailer tow hitches or trailer load distribution equipment is neither recommended nor approved by the BMW Group Australia for any vehicle of the BMW Group. Using these kinds of devices can affect the vehicle's warranty status.
Additional advise and information can be obtained from an authorized BMW center."
34315384_474.cml_Trailer_towing_1	Trailer towing	"Before driving

 Drawbar nose weight

 If possible, to not undershoot the minimum drawbar nose weight of 25 kg 25 kg, approx. 55 lb 55 lb/25 kg  and utilize the maximum drawbar nose weight.
The maximum load of the tractor is lowered by the weight of the trailer hitch and the drawbar nose weight. The drawbar nose weight increases the vehicle weight. The approved gross vehicle weight of the towing vehicle must not be exceeded.
Loading

 Distribute cargo as evenly as possible on the cargo area.
Stow the load as low and close to the trailer axle as possible. A low center of gravity in the trailer increases the driving safety of the entire car-trailer combination.
Do not exceed the approved gross vehicle weight of the trailer and the permissible trailer load of the vehicle. The smaller value applies in each case. Tire inflation pressure

 Note the tire inflation pressure of the vehicle and trailer.
For the vehicle, the tire inflation pressure for higher loads applies.
For the trailer, the specifications of the manufacturer apply.
Flat Tire Monitor

 After correcting the tire inflation pressure and hitching or unhitching a trailer, reinitialize the Flat Tire Monitor. Tire Pressure Monitor

 After correcting the tire inflation pressure and hitching or unhitching a trailer, reinitialize the Tire Pressure Monitor. Exterior mirrors

 Legislation requires two exterior mirrors that allow the driver to see both rear corners of the trailer. Such mirrors are available as special accessories from a dealer's service center or another qualified service center or repair shop.
Power consumption

 Before starting to drive, check the function of the trailer tail lamps. Before starting to drive, check the function of the rear luggage rack lights. The consumption of the trailer tail lamps must not exceed the following values: The rear luggage rack lights must not consume more than: - Turn signals: 42 watts per side.
- Rear lights: 50 watts per side.
- Brake lights: 84 watts in total.
- Rear fog lights: 42 watts in total.
- Backup lamp: 42 watts in total.Keep the activation times of the electronic systems/power consumers short when towing a camper to save the vehicle battery power."
34315384_474.cml_Trailer_towing_2	Trailer towing	"Towing a trailer

 Information

 Adapt your speed when driving with a trailer
Maximum speed when towing a trailer
Uphill gradients

 In the interest of safety and to avoid hindering the smooth flow of traffic, the towing of trailers is permissible on uphill gradients up to 12 %.
If higher trailer loads are approved at a later point in time, the gradient limit is 8 %.
Starting on inclines

 The parking brake is Automatically released when the accelerator pedal is activated. In order to prevent rolling back during starting, use the parking brake.
Hills

 A car-trailer combination has the tendency to swing more readily on hills.
Manually shift down to the next lower gear before driving on a hill and drive downhill slowly.
High loads and external temperatures

 Long trips with high loads and high external temperatures"
34315384_474.cml_Trailer_towing_3	Trailer towing	"Trailer stabilization control

 The concept

 This system supports the driver in stopping the swinging of a trailer.
It detects swinging and automatically brakes the vehicle quickly to leave the critical speed range and stabilize the car-trailer combination.
If the trailer power socket is in use but a trailer has not been hitched, the system can become active in certain driving situations, such as when using a bicycle rack with lighting.
Functional requirement

 The system is functional at speeds beginning at approx. 65 km/h 65 km/h, approx. 40 mph 40 mph/65 km/h  while a trailer is being towed and the trailer power socket is in use.
System limits

 - The system cannot intervene if the trailer jackknifes suddenly, for example, on slippery roads or loose surfaces.
- Trailers with a high center of gravity can tip before swinging is detected.
- The system is not operational if Dynamic Stability Control DSC s deactivated or has failed."
34315581_454.cml_Glove_compartment_0	Glove compartment	"Front passenger side

 Information

 Close the glove compartment again immediately
Opening

 Press button and open cover upward. Pull the handle. Pull the handle.
The light in the glove compartment switches on.
The net in the glove compartment is provided for stowing the storage tray for the cup holder. Closing

 Fold cover closed."
34315659_125.cml_Power_windows_0	Power windows	"Information 

 Take the remote control with you"
34315659_125.cml_Power_windows_1	Power windows	"Overview

 Buttons for power windows"
34315659_125.cml_Power_windows_2	Power windows	"Opening 

 - Press the button to the resistance point.
The window opens while the switch is held.
- Press the switch beyond the resistance point.
The window opens automatically. Pressing the switch again stops the motion.See also: Convenient opening via remote control."
34315659_125.cml_Power_windows_3	Power windows	"Closing 

 Keep the closing path clear
To close a window, the corresponding door must be closed. - Pull the switch to the resistance point.
The window closes while the switch is held.
- Pull the switch beyond the resistance point.
The window closes automatically. Pulling again stops the motion.See also: Convenient closing via remote control. See also: closing by means of Comfort Access."
34315659_125.cml_Power_windows_4	Power windows	"After switching off the ignition After switching off drive readiness 

 The windows can still be operated:
- For an extended period when in radio-ready state.
- For 1 minute after the ignition is switched off.
- After switching off the radio-ready state for approx. 1 minute."
34315659_125.cml_Power_windows_5	Power windows	"Pinch protection system

 Danger of jamming even with pinch protection
No window accessories
If closing force exceeds a specific margin as a window closes, closing is interrupted.
The window reopens slightly.
Closing without the pinch protection system

 Keep the closing path clear
In case of danger from the outside or if ice might prevent normal closing, proceed as follows:
1. Pull the switch past the resistance point and hold it there.
The pinch protection is limited and the window reopens slightly if the closing force exceeds a certain margin.
2. Pull the switch past the resistance point again within approx. 4 seconds and hold it there.
The window closes without jam protection."
34316380_333.cml_ECO_PRO+_0	ECO PRO+	"ECO PRO+ also limits the maximum speed and reduces climate control and lighting functions.
Comfort functions and the engine Controller are adjusted."
34316380_333.cml_ECO_PRO+_1	ECO PRO+	"Activating ECO PRO+

 Press button repeatedly until ECO PRO+ is displayed in the instrument cluster."
34318014_283.cml_Required_tire_inflation_pressure_check_message_0	Required tire inflation pressure check message	"A Check Control message is displayed in the following situations
- The system has detected a wheel change, but no reset was done.- Inflation was not carried out according to specifications.
- The tire inflation pressure has fallen below the level of the last confirmation.In this case:
- Check the tire pressure and correct as needed.
- Carry out a reset of the system after a tire change."
34318413_280.cml_Carry_out_reset_0	Carry out reset	"Reset the system after each adjustment of the tire inflation pressure and after every tire or wheel change.
On the Control Display and on the vehicle:
1.  Vehicle info 
2.  Vehicle status 
3.  Perform reset 
4. Start the engine - do not drive off.
5. Switch on drive readiness – do not drive off.
6. Reset tire inflation pressure:  Perform reset .
7. Drive away.The wheels are displayed in gray and the status is displayed.
After driving faster than 30 km/h 30 km/h, 19 mph 19 mph/30 km/h  for a short period, the set tire inflation pressures are accepted as reference values. The reset is completed automatically while driving.
The progress of the reset is displayed. After a successfully completed Reset, the wheels on the Control Display are shown in green and  Tire Pressure Monitor (TPM) active  is displayed.
You may interrupt this trip at any time. When you continue the reset resumes automatically."
34319777_835.cml_Secure_the_vehicle_against_rolling_0	Secure the vehicle against rolling	"If the parking brake fails or malfunctions, secure the vehicle against rolling before exiting. To ensure that the vehicle is secured against rolling, observe the following:
- Steptronic transmission or M double-clutch transmission: make sure that transmission position P is engaged.
- Manual transmission: make sure that the 1st gear or reverse is engaged.
- On uphill grades or on a slope, turn the front wheels in the direction of the curb.
- On uphill grades or on a slope, also secure the vehicle, for example with a wheel chock. Steptronic transmission: engaging selector lever position P

   Press button P."
34319815_724.cml_Halogen_headlights_0	Halogen headlights	"Low beams

 Follow general instructions.
55-watt bulb, H7.
1. Fold up cover in front of the headlights.
2. Turn the lid counterclockwise and remove.
3. Remove the connector, arrow 1. Press the bulb holder into the direction of the bulb and to the right to remove it from the anchor, arrow 2.
4. Fold the bulb holder down.
5. Turn the bulb counterclockwise and remove.
6. To insert the bulb and bulb holder, proceed in reverse order of removal. Make sure that the bulb holder snaps into place.
7. Close the headlight housing with the lid. Make sure that the lid engages."
34319888_476.cml_Trailer_hitch_with_electrically_extendable_ball_head_0	Trailer hitch with electrically extendable ball head	"General information

 The extendable ball head is located on the underside of the vehicle.
When the ignition is switched off, the system is deactivated after a short time. You should therefore use the system only when the ignition is switched on. The LED lights up green when the system is ready. The LED lights up green when the system is ready."
34319888_476.cml_Trailer_hitch_with_electrically_extendable_ball_head_1	Trailer hitch with electrically extendable ball head	"Extending the ball head

 1. Open the cargo area.
2. Step out of the moving range of the ball head behind the vehicle.
3. Press button in the cargo area.
The ball head extends. The LED in the button flashes green.
4. Wait until the ball head reaches the end position.Checking the lock"
34319888_476.cml_Trailer_hitch_with_electrically_extendable_ball_head_2	Trailer hitch with electrically extendable ball head	"Retracting the ball head

 1. Unhitch the trailer or load carrier; remove the attachments for the track stabilization systems; unplug the connector for the trailer power supply; and, if needed, the adapter.
The LED in the button does not light up if the connector or adapter has not been unplugged.
2. Press button in the cargo area.
The ball head retracts. The LED in the button flashes green.
3. Wait until the ball head reaches the end position."
34319888_476.cml_Trailer_hitch_with_electrically_extendable_ball_head_3	Trailer hitch with electrically extendable ball head	"Automatic stopping or reversing of the ball head movement

 General information

 Movement of the ball head is stopped automatically, possibly reversed, or not carried out if the electrical limit values are exceeded, such as when temperatures are very low or when there is mechanical resistance.
Repeating the ball head movement with the engine running

 1. Start engine via the Start/Stop button.
2. Press and hold the button in the cargo area, until the ball head is completely retracted or extended.Repeat ball head movement as needed with the button pressed and held and the engine running.
The LED in the button lights up green, when the ball head reaches a limit position.
If this occurs repeatedly, contact a dealer's service center or another qualified service center or repair shop."
34319888_476.cml_Trailer_hitch_with_electrically_extendable_ball_head_4	Trailer hitch with electrically extendable ball head	"Trailer connector

  The trailer connector is located on the trailer hitch.
Fold the cover down."
34319888_476.cml_Trailer_hitch_with_electrically_extendable_ball_head_5	Trailer hitch with electrically extendable ball head	"Fitting for safety rope

 There is a fitting on the trailer hitch for securing the trailer safety rope. Secure the trailer safety rope to the fitting for increased safety when driving with a trailer."
34319888_477.cml_Trailer_hitch_with_electrically_extendable_ball_head_0	Trailer hitch with electrically extendable ball head	"General information

 The extendable ball head is located on the underside of the vehicle.
When the ignition is switched off, the system is deactivated after a short time. You should therefore use the system only when the ignition is switched on. The LED lights up green when the system is ready. The LED lights up green when the system is ready."
34319888_477.cml_Trailer_hitch_with_electrically_extendable_ball_head_1	Trailer hitch with electrically extendable ball head	"Extending the ball head

 1. Open the cargo area.
2. Step out of the moving range of the ball head behind the vehicle.
3. Press button in the cargo area.
The ball head extends. The LED in the button flashes green.
4. Wait until the ball head reaches the end position.Checking the lock"
34319888_477.cml_Trailer_hitch_with_electrically_extendable_ball_head_2	Trailer hitch with electrically extendable ball head	"Retracting the ball head

 1. Unhitch the trailer or load carrier; remove the attachments for the track stabilization systems; unplug the connector for the trailer power supply; and, if needed, the adapter.
The LED in the button does not light up if the connector or adapter has not been unplugged.
2. Press button in the cargo area.
The ball head retracts. The LED in the button flashes green.
3. Wait until the ball head reaches the end position."
34319888_477.cml_Trailer_hitch_with_electrically_extendable_ball_head_3	Trailer hitch with electrically extendable ball head	"Automatic stopping or reversing of the ball head movement

 General information

 Movement of the ball head is stopped automatically, possibly reversed, or not carried out if the electrical limit values are exceeded, such as when temperatures are very low or when there is mechanical resistance.
Repeating the ball head movement with the engine running

 1. Start engine via the Start/Stop button.
2. Press and hold the button in the cargo area, until the ball head is completely retracted or extended.Repeat ball head movement as needed with the button pressed and held and the engine running.
The LED in the button lights up green, when the ball head reaches a limit position.
If this occurs repeatedly, contact a dealer's service center or another qualified service center or repair shop."
34319888_477.cml_Trailer_hitch_with_electrically_extendable_ball_head_4	Trailer hitch with electrically extendable ball head	"Trailer connector

  The trailer connector is located on the trailer hitch.
Fold the cover down."
34319888_477.cml_Trailer_hitch_with_electrically_extendable_ball_head_5	Trailer hitch with electrically extendable ball head	"Fitting for safety rope

 There is a fitting on the trailer hitch for securing the trailer safety rope. Secure the trailer safety rope to the fitting for increased safety when driving with a trailer."
